,tweets,ano
0,Conclusão do trabalho de mentalidades medievais: os estudantes e professores de artes sofriam bullying agressivo por parte dos de teologia.,2015
1,Muito bullying eu não estar de férias e estar me estressando tanto no trabalho! 😓,2015
2,as pessoas olham pra mim e perguntam se eu to de ressaca mas nao acreditam qnd eu digo q to passando mal bullying np ambiente de trabalho,2015
3,"posso apenas dizer q o 5sos ta fznd um ótimo trabalho anti-bullying, self-shaming, racismo, diferença de gênero e isso me enche de esperança",2015
4,"- Trabalho num escritório de engenharia civil. - Ah, é? O que você faz? - Sofro bullying.",2015
5,"Conheça, em nosso blog, maneiras de evitar a prática do bullying no seu ambiente de estudos/trabalho. parlante.com.br/blog/bullyin…",2015
6,"juucaldeira: ""o meu amigo secreto sofre muito bullying no trabalho, compra muuuuito e gosta da… https://www.instagram.com/p/_afRmzmFvR/",2015
7,"As meninas lá do trabalho de bullying no meu post do facebook, aff 💔",2015
8,@ThatuNunes 2025 fantástico ensinando como lidar com o bullying no trabalho pq a criançada não aprendeu na escola,2015
9,Maravilho trabalho sobre o bullying feito pela treinadora de elencos no Fantástico. Ela usa uma variação de... fb.me/2p0ZW1297,2015
10,Vim aqui criticar o fantástico. Mas agora é preciso elogiar: fantástico trabalho contra o bullying!,2015
11,Super legal esse trabalho q essa professora fez por bullying,2015
12,Chorando com esse trabalho da Fátima Toledo sobre bullying,2015
13,Eia pois é amanhã devia de apresentar um trabalho sobre bullying,2015
14,"Sofri altos bullying no trabalho, me chamaram de bizerrinho, vaquinha, cachorrinho e etc, pq o sino do colar faz barulhinho hskjsks",2015
15,sofrendo bullying no trabalho!!!! os cara não cansam de dizer que sou um bixo preguiça ahahahha,2015
16,sofro bullying até no amigo oculto do trabalho gente,2015
17,Deputado Catarina destaca trabalho de combate ao bullying realizado em Pelotas Saiba mais: bancada40rs.blogspot.com.br/…,2015
18,Bullying não é brincadeira. Pelotas dá exemplo ao criar grupo de trabalho para atuar no combate à essa violência catarina.org.br/noticia/391,2015
19,Sofri Bullying lá no trabalho só pq cheguei no trabalho com um coque samurai,2015
20,@reeditto ahuauhauha sim!! na rua que me preocupa mesmo miga. No trabalho é puro bullying mesmo,2015
21,"@Thierri_P Tenho um amigo fazendo um TCC sobre bullying, devo encaminhar a carta do Temer pra ele colocar junto no trabalho?",2015
22,Que o bullying parece é o que ela queria Trabalho em grupo ninguém a escolhia 🎶,2015
23,Que trabalho lindo sobre bullying no fantástico ❤,2015
24,Essa reportagem sobre o bullying no fantastico me fez lembrar do meu trabalho na feira de ciencias do medi,2015
25,bullying no trabalho amanhã ... :(,2015
