,tweets,ano
0,Minha ficha ainda não caiu que acabei meus estudos e tenho que arranjar um trabalho!,2018
1,A Rita Pereira facilitou muito o trabalho dos futuros bullies do seu filho,2018
2,"Ah, um ou outro já apareceu aqui por causa de uns textos meus no trabalho e canal hahahaha já fui acusado de ser comprado por sony, microsoft, ninetndo, o que for, cada dia é uma ofensa. Aprendi na quinta série que bully e troll é só rir e debochar deles de volta e já era <3",2018
3,"Olha quem veio passear hoje no trabalho  da mamãe - meu amor spockbulldog , meu filhotão. ❤💗 . . #petsofinstagram #englishbulldog #bullies #meuamor #savassi #bh #belohorizonte #mg em… https://www.instagram.com/p/Bri4a9fltgK/?utm_source=ig_twitter_share&igshid=1vm00r4bonfk6",2018
4,Primeira vez hoje Que não Sofro Bully no Trabalho,2018
5,"Lá pela terceira série eu tinha uma coleguinha meio bully, teve um dia q ela ajudou mt em um trabalho em grupo mas as outras meninas q eram mais bully ainda me fizeram dizer pra prof q ela não fez nada, de vez em quando ainda me lembro e me sinto mal :T",2018
6,meu irmão viajou e levou o video game que tristeza eu só queria fumar maconha e jogar bully mas to aqui penando pra fazer um trabalho que eu tenho certeza que vai sair ó: uma bosta,2018
7,"Cara aquele grupo é um inferno. Cheio de mulher mimada que é exatamente isso q vc descreveu, bully q apela pra sororidade. Teve gente q saiu me queimando até pra contato de trabalho por conta da moderação do grupo ou por não gostar de alguém de lá e me odiar por associação hahaha",2018
8,"Hoje uma das chefes de turno na contagem de caixa disse que se houvesse algum bully among them para lhe dizer e depois disse; “Quando entrei era como tu, na minha a fazer o meu trabalho e depois uns anos tornei-me chefe, não preciso de dizer mais nada? Opa há melhor motivação?",2018
9,"vocês que criticam o trabalho do @GFRDBR saibam que as pessoas que gerenciam a fanbase, doam seu tempo, amor e atencao pra trazer e fazer o melhor pra voces, essa fanbase não merece nenhum ódio gratuito que recebe, forças ícones  be buddies not bullies ❤💙💚💛🧡💜",2018
10,Já nem me devia dar ao trabalho de vos falar quando me preocupo com a vossa saúde :( Why you bully me?,2018
11,Os caras apresentando trabalho e eu jogando Bully no celular,2018
12,Esse trabalho sobre o bully é até interessante,2018
13,Eu preciso ter ideia para fazer um trabalho sobre Bully,2018
14,Baixando Bully pra jogar no celular ciente de q terei exatos 10 min de bateria assim q abrir o jogo. Vo ter q levar minha extensão hj pro trabalho pra ter condição de jogar na janta apple eu te odeio mentira te amo me patrocina,2018
15,Mais uma Vez  Sofri bully no Trabalho Por ser bonito...  Até quando isso pai !,2018
16,"Sou 157, trabalho pro chefe 🎶",2018
17,"Rejeições de garotas/garotos, sofrer Bully e abuso, assistir Filmes e Novelas, outras pessoas que acabam te influenciando, conversas com grupinhos de amigos LGBT, da escola/faculdade/trabalho, entrar em alguns sites da internet, redes sociais, pode ser qualquer situação.",2018
18,"nao devia usa nome de politicos em ruas isso sempre ficar com piadas , é bully na escolas é no trabalho . tipo voçe morar Rodoviaria. Dep. Roberto Rollemberg . eu nao morou lá mais eu passou as ver .",2018
19,É simplesmente surreal o trabalho da Rockstar. Isso aqui é outro nível. Como eu queria um Bully novamente...,2018
20,"Hoje teve um trabalho na escola sobre bully na escola, e eu apresentei todo mundo ao @CVVoficial, e disse sobre a importancia do mês de setembro, por causa do #SetembroAmarelo e tals, e foi algo muito bom pra mim, me sentir bem ao tentar ajudar alguém, mesmo com apenas palavras.",2018
21,"Sou 157, trabalho pro chefe 🎶",2018
22,ESCOLA ESCOLA ESCOLA ESCOLA ESCOLA TRABALHO CÂNCER ESTRUPO BULLY BULLY KKKK GADO +++ 😂😂😂👌......😢😩,2018
23,"Eu n to tentando mudar o pensamento, até porque ele é bully e o comportamento dele pode ser um gatilho p mt gente, é só que o Bakugou é um personagem interessante e bem construído apesar de ser cuzão e a galera joga o trabalho do Horikoshi no bueiro na hora de dar hate",2018
