,tweets,ano
0,"não disse que não sofre, mas em lugar nenhum do mundo passa pelas mesmas coisas que uma pessoa gorda. mas vamos combinar que o maximo que uma pessoa magra pode passar pelo seu peso é bullying em certos países, mas nunca vi ninguem perder emprego por ser magro, +",2018
1,Branco sofre bullying e não racismo! Em nenhuma entrevista de emprego vc sera desclassificado so por SER BRANCO e ngm vai achar que vc é bandido só por ser branco. Nos poupem,2018
2,"enfim2, o modo que ela superou esses ocorridos na vida dela - que ela passou por cima, pq claro, da de se imaginar q ela foi sempre alvo de bullying, nunca conseguiu achar um bom emprego, nunca conseguiu se encaixar na sociedade - foi incrível; decidindo começar a streamar,",2018
3,Concordo q ele fez bullying a toa. Mas assim: 1- Estudou para se tornar animago e fazer companhia ao seu amigo nas suas piores noites  2- Acolheu o Sirius qnd ele n tinha mais pra onde ir e tinha saido de casa 3- Sustentou o Lupin qnd ele n conseguia emprego por ser lobisomem,2018
4,"Eu fiquei uns 2-3 dias. Primeiro q era um grupo só para mulheres e outro só para homens. Aí as mulheres com discurso q mulher tinha q largar o emprego para cuidar dos filhos e da casa. Nunca me senti tão não-pertencente a um grupo, nem qd eu sofria bullying delas.",2018
5,"Aí seu amigo arruma um emprego e começa a sofrer bullying kkkkkkkk - [12/12 23:30] Filipi Amorim: meu apelido lá é lagartixa KKKKKKKK [12/12 23:31] Filipi Amorim: foi o capeta do açougueiro que falou que eu andava igual lagartixa, andando balançando o rabo",2018
6,"mano TODA mulher sofre com pressão estética, pessoas magras também sofrem bullying mas pessoas magras conseguem comprar roupas, passar por portas, sentar em cadeiras e conseguem emprego sem mais problemas então sim, é um privilégio, oq n é uma coisa ruim e n apaga seu sofrimento",2018
7,"Só agora disseram q o sushiman sofreu bullying dos colegas de trabalho, q n gostavam muito dele pelas promoções q teve no emprego. Um caso de inveja q terminou em surto e morte, pelo despreparo da polícia. #jornalhoje",2018
8,"parei de criticar o povo do Nordeste depois que troquei de área no emprego. Os cara são outra cultura, percebo pelo estilo de roupa: o que eles acham bonito lá, com certeza aqui a pessoa sofreria bullying",2018
9,"Sofrem bullying desde sempre, ouvem piadinhas, comentários, ""só um toque"" e tem dificuldades nao só pra achar roupa mas pra achar namoro, emprego, etc. Mas qdo essas pessoas falam sobre todo mundo ""sim Ta fazendo gracinha pq é magro mimimi""",2018
10,"esse ano está ficando cada vez pior, eu estou c problemas pessoais emocionais, sofri bullying e maus tratos no primeiro emprego que tanto quis, de chacota pra pior, perdi emprego, perdi 2 em 1 meu melhor amigo, companheiro, se eu fosse parar p contar tudo...",2018
11,"Isso é bullying, Douglas. Racismo é uma questão estrutural da nossa sociedade. Apesar desse episódio, tu não corre o risco de perder uma vaga de emprego por ser branco, por exemplo. Nem ter seu guarda chuva, garrafa de cerveja, celular, etc, confundidos com uma arma. Privilégios.",2018
12,"Gosto de bagunça, confusão, bullying, só existe 1 emprego assim. Deputado Federal.",2018
13,"E tu sabe por que essas brigas por esquinas acontecem, né? Sair da escola por sofrer bullying, violência, ter mais dificuldade em arrumar um emprego deve ser uma das razões, né?",2018
14,"Coitada velho, vão negar emprego a ele porque ela é branca, vão atirar nela porque ela é branca, vão fazer bullying e agredir ela porque ela é branca, vida de branca é difícil mano :'(",2018
