,tweets,ano
0,To andando muito feio e to sofrendo bullying no trabalho kkk,2017
1,A pessoa sofre bullying de todos os seus colegas de trabalho. Da técnica de desprezo a desenhar pinto na mesa do cidadão,2017
2,Assédio Moral &#038; Bullying no trabalho -  netspeed.com.br/mais/noticia…,2017
3,Isso do bullying é mentira mas de resto até acho que fizeste um bom trabalho 😂,2017
4,"Se engana quem acredita que bullying é feito apenas por crianças, ou em escolas. Bullying é prática comum entre adultos em ambiente de trabalho.",2017
5,"Fui em uma feira na USP e o trabalho da menina era : ""O BULLYING INSERIDO NAS PIADAS"". Escutei com atenção à explicação da jovem e ao final, pedi que me contasse uma piada. Ela riu meio sem graça e eu fui embora😧 DEIXA DE SER BABACA!",2017
6,"Imagina essa geração no show de bullying art do Léo Lins haha. Mas é fácil a resolução, quem curte acompanha o trabalho dos caras e quem n, é só n seguir",2017
7,"Sabia que sou autora de um livro sobre bullying e depressão na adolescência? - É curtinho e está disponível por apenas R$ 1,99: goo.gl/hRUH1Z  - Skoob: https://goo.gl/h8cF6U - Goodreads: https://goo.gl/Y8TSCF - Acompanhe também meu trabalho no @pausaparaumcafe",2017
8,"É uma pena alguém influente não ter informações básicas, por exemplo, como o cyberbullying causa tantos suicídios como o bullying que as pessoas sofrem em ambiente escolar e de trabalho. Mais respeito ao próximo seria ótimo.",2017
9,eu não acredito que estou sofrendo bullying no grupo de trabalho porque falei que odeio minions. se eu tivesse feito piada de mau gosto teria sido menos criticada,2017
10,eu sofria bullying no colegio mas eu conseguir contornar mas foi um grande trabalho interno,2017
11,"Um negócio que é mto chato é bullying com garçon. Por mais que o cara seja meio lento, ele tenta fazer o melhor. É o trabalho do cara, vamo respeitar.",2017
12,"☆ essa ação na escola, onde falamos sobre bullying e violência, onde eu mais aprendi do que ensinei, onde me apaixonei ainda mais pelo meu trabalho e por crianças, e mano, eu amo demais tudo isso ♡",2017
13,"Sou negro a 29 anos e nunca sofri racismo. O motivo do meu sucesso ou insucesso não começa pelo meu tom de pele, começa pela minha determinação, trabalho, fé e suor. Sofria bullying da minha mãe e isso me fortaleceu muito. "" Oh beiçudo vem cá""...kkk",2017
14,Um amigo meu que tá no navio desceu e passou aqui na loja pra gente almoçar junto e as meninas do trabalho já ficam me zoando kkkk to sofrendo bullying,2017
15,"#itautec O nome dele é Fernando José Trindade. Esse Fernando é um cara que já fez várias grosserias dentro da empresa com colegas de trabalho, já fez assédio moral em colega, já fez bullying em colega e já fez chacotas pesadas com colega.",2017
16,"fds odeio-te tanto, amanhã vou te fazer bullying ao trabalho",2017
17,Olha o bullying com o amiguinho que vai de bike pro trabalho :P (créditos da legenda ao @marcussousax),2017
18,KKKKKKKKKKKKKKKKKKKKKKKK  LEVEI UMA ADVERTÊNCIA NO TRABALHO POR FAZER BULLYING COM OS COLEGAS,2017
19,"""Estamos em 2017 não existe: preconceito, trabalho escravo, tráfico de pessoas, tráfico de criança, criança traficando drogas,prostituição infantil, bullying,caça aos animais"" EXISTE SIM a ignorância de vcs que não quer ver",2017
20,Vim pro Paraná pra sofrer bullying dos meus colegas de trabalho,2017
21,Bullying para os desempregados o povo ficar postando foto da confraternização com q turma do trabalho,2017
22,"Parceiro, eu sofro bullying no trabalho por causa desse Pablo Vittar, só por ter o mesmo nome q ele. Nada contra, mas ele poderia mudar o nome e né. Kk",2017
23,Se bullying for sinonimo de tratar bem eu faço bem o trabalho ahahah digo-te o mesmo xD,2017
24,sofre d bullying tu — Vou ligar-lhe para saber se pretende continuar o trabalho. https://curiouscat.me/isabtx/post/257099020?1513687689,2017
25,Estou sofrendo bullying no trabalho porque meu sotaque é carregado aheuihauiuaeae,2017
26,sofre d bullying tu — Vou ligar-lhe para saber se pretende continuar o trabalho. https://curiouscat.me/isabtx/post/257099020?1513548103,2017
27,Mas meu trabalho aqui é fazer bullying,2017
