,tweets,ano
0,e quando o bully é dentro do trabalho?,2015
1,Estou sofrendo bully por causa da barba no trabalho,2015
2,"Sofro bully no trabalho porque falo palavras pomposas como ""actually"", ""pretty"" e ""batch""  Ficam me chamando de fresco",2015
3,"nem sei porque é que ainda me dou ao trabalho de falar c ela, so bully",2015
4,@Hawk_Gameplays sobre a cidade do futuro escola bully dai fui vendo seus vídeos e conhecendo mais seu trabalho o último vídeo eu até chorei,2015
5,Bully no trabalho 👏👏👏👏  #tragico #instagood #instadaily #instalike #instafollow #instabully #bomdia… https://instagram.com/p/7LRXulK24C/,2015
6,era pra eu ter começado o trabalho de sociologia MAS FIQUEI JOGANDO BULLY A TARDE TODA MATANDO AS BIXA LOUCA QUE EU TAVA QUE DLÇ,2015
7,"@BRKsEDU Edu, Na Moral eu Sei que aquela sua série de Bully é antiga mais do mesmo jeito continua sendo Fod@ Parabéns pelo Seu Trabalho",2015
8,"@wuantt Wuant, tudo bem? Gostava de te perguntar se algum dia pudesses continuar a série de Bully! Continua com o bom trabalho =)",2015
9,#Davis Galera oque vocês acham do meu trabalho aqui na página ? Sou um bom CDC para vocês ? fb.me/45A0Mw0TX,2015
10,"... mano tava saindo do trabalho e tals ne , ai passo uma mina mo gata e tals , f... - Que bully 😓 kiw.im/1ZT4oJ6pdw",2015
11,sinto mto facul n vai dar para fazer os trabalho pois pretendo zerar scribblenauts e bully,2015
12,"Olá galera, a página vem informar que um de nossos CDC's será demitido, pois ele não mostrou bom trabalho ele é o... fb.me/4Rw4poKKu",2015
13,"Olá galera, viemos parabenizar um cdc da PÁGINA que mostrou bom trabalho ele foi promovido á analista mas... fb.me/8omeVlu5H",2015
14,"Hoje uns da minha turma disseram para eu ser uma bully para um trabalho ent eu tava a ""bater"" na Carolina, e quem passava achava verdade aha",2015
15,"Eu achava que ia sofrer bully no trabalho por ter um guarda-chuva de katana, ai descobri que meu chefe tem 2.",2015
16,"Eu espero que vcs se fodam, enquanto vao pra escola ou trabalho eu jogo Bully kkkk",2015
17,"Tentando fazer o trabalho da pós, mas tem alguém querendo atenção... #bullies #bulldog #narigones https://instagram.com/p/0i2cn2JCYU/",2015
18,Com certos colegas de trabalho você tem que lidar como lidava com os bullies da 8ª série.,2015
19,"+ trabalho sobre o bully que é pra fzr uma peça, eu vou ser a que sofre, mas pq será que me botaram nisso? ... #askdirectioner"" é o destino",2015
20,"Tem um trabalho sobre o bully que é pra fzr uma peça, eu vou ser a que sofre, mas pq será que me botaram nisso? ... #askdirectioner",2015
21,5 tipos de idiotas no trabalho. 1.O “Sabe-tudo”(30% o mais comum) 2.“Bully”(26%)  3.“Reclamão”(21%) 4.“Puxa-saco”(16%)  5.“Fofoqueiro”(4%),2015
22,"Eu que fiz um trabalho sobre marco civil da internet, e fico fazendo esses altos bully.",2015
23,"Esse vídeo de bully deu um pouco de trabalho deste a roterização, mas sinto que ele vai ter um feed bom. E se não tiver, vídeo mensalmente 😄",2015
24,@Cardoso cadê toneladas de diplomacia pra resolver isso? O daesh é tipo aquele bully chato que ninguém se dá ao trabalho de enfrentar,2015
25,E mais um gibi foda... BULLY do parcerão Julio Brilha! Outro trabalho q mostra a evolução desse rapaz… instagram.com/p/xkeL4ZkC11/,2015
26,Janaína fez um trabalho lindo! KKKKLLLKKKKKKKK,2017
27,"tema esta bem relevante, infelizmente. saiu noticia hj q meu host *predileto* eh um bully no trabalho... wbur.org/news/2017/12/11/tom…",2017
