,tweets,ano
0,"Eu não volto pro Brasil nem FODENDO!! Assédio aqui pega, vacilou perdeu emprego ou vai pra frente do juiz em 48hs. Vale pra homens e mulheres.",2017
1,"Meu vizinho coxinha ganhava 2500 antes do golpe, após o golpe perdeu emprego e conseguiu outro ganhando 1200, agora perdeu e tá tentando vaga pra emprego de salário minimo.  Irmã dele continua no emprego mas vem sofrendo assédio moral",2017
2,"A Globo gosta de um sensacionalismo barato. Só existe assédio porque não há denúncia imediata. Foda-se emprego, campeonato, tudo.  Denuncia LOGO e pronto!  esporte espetacular",2017
3,"Tava vendo com a minha mãe uma reportagem sobre assédio sexual a mulheres. Ela disse ""se os caras continuam fazendo isso, é pq as mulheres deixam""  Quis mandar ela à merda, mas lembrei que ainda dependo financeiramente dela  Alguém me dá um emprego",2017
4,Eu acho é que a gente não precisa se submeter a TUDO nessa vida em função de um emprego. Assédio Moral é uma das coisas MAIS torturantes dessa vida!,2017
5,Mulher implorou a Trump por emprego antes de acusá-lo de assédio sexual | Renova Mídia https://shar.es/1M9oVq,2017
6,"Jill Harth pediu repetidamente a Trump por um emprego de maquiadora durante a campanha presidencial de 2016.  Após ser rejeitada, resolveu ganhar 15 minutos de fama ao denunciar o Presidente por suposto assédio sexual cometido em 1997.  renovamidia.com.br/jill-hart…",2017
7,"Jill Harth pediu repetidamente a Trump por um emprego de maquiadora durante a campanha presidencial de 2016.  Após ser rejeitada, resolveu ganhar 15 minutos de fama ao denunciar o Presidente por suposto assédio sexual cometido em 1997.  renovamidia.com.br/jill-hart…",2017
8,"Outra coisa é. Oq é assédio? Para mim é vc cobrar de uma subordinada relações em troca de manter ou conseguir um emprego. Porém estão exagerando e falando que é tudo. Basta vc ter ""chavecado"" alguém que você é assediador. Olha esse caso com trump, a mulher falado do n de celular!",2017
9,"São três elementos necessários para caracterizar assédio: (1) a conduta de constranger alguém; (2) com o intuito de obter vantagem ou favorecimento sexual; (3) prevalecer de sua condição de superior hierárquico ou de ascendência inerentes ao exercício do emprego, cargo ou função",2017
10,"São três elementos necessários para caracterizar assédio: (1) a conduta de constranger alguém; (2) com o intuito de obter vantagem ou favorecimento sexual; (3) prevalecer de sua condição de superior hierárquico ou de ascendência inerentes ao exercício do emprego, cargo ou função",2017
11,"São três elementos necessários para caracterizar assédio: (1) a conduta de constranger alguém; (2) com o intuito de obter vantagem ou favorecimento sexual; (3) prevalecer de sua condição de superior hierárquico ou de ascendência inerentes ao exercício do emprego, cargo ou função",2017
12,"São três elementos necessários para caracterizar assédio: (1) a conduta de constranger alguém; (2) com o intuito de obter vantagem ou favorecimento sexual; (3) prevalecer de sua condição de superior hierárquico ou de ascendência inerentes ao exercício do emprego, cargo ou função",2017
13,"Digo a você, minha amiga: denunciei o cabra ao LinkedIn por assédio e o bloqueei. Estou brigando com a faculdade para não aplicar prova pra essa turma - e não vou (provavelmente perderei o emprego).",2017
14,"Uma comparação mais inteligente seria dizer: Se você mediasse uma entrevista de emprego e o entrevistado tivesse um currículo maravilhoso, mas você está ciente que ele é super agressivo e tem histórico de assédio, contrataria este cara? Não, né?",2017
15,"Pera, deixa eu ver se eu entendi as notícias atuais: O Bolsonaro conseguiu um emprego pra Pabllo Vittar trabalhar para a Coca-Cola, que têm um míssil que pode atingir o mundo inteiro, mas o míssil foi acusado de assédio sexual e decidiu pedir demissão, é isso mesmo?",2017
16,"Assédio, agressão e coisas como slutshaming, mansplaining, são só as faces mais agudas e óbvias do machismo. Só violências como invisibilização e a ""brotheragem"", até de caras q vc pode achar ""gente boa"", são suficientes p uma mulher querer desistir de um emprego, de uma carreira",2017
17,"Continuando... “ou ascendência inerentes ao exercício do emprego ou função”. Então agora que já sabem, O PEDREIRO TE CHAMANDO DE GOSTOSA NÃO É ASSÉDIO. - . O CARA QUE BUSINA PRA VOCÊ NÃO É ASSÉDIO. - . O FEIO QUE TE CHAMA DE LINDA NÃO É ASSÉDIO!",2017
18,"Inclusive meu primo perdeu o emprego por uma falsa acusação de assédio. A supervisora sacou na hora q a garota tava encenando, mas ele tava com tanta raiva q pediu pra sair, antes de arrebentar a cara da sonsa",2017
19,SBT da emprego para racistas e a record adora um agressor de mulher (2 na fazenda) e quando acontece assédio nos bastidores nada de botar pra fora. Só sabem criticar a Globo que faz o correto nos casos citados,2017
20,"O que pega nesses casos de assédio na indústria cinematográfica é que os caras usam o poder e influência deles em benefício próprio. Se eu ou vc somos atacadas pela chefe no escritório saímos de lá e pronto, arrumamos emprego em outro lugar",2017
21,"Assédio moral no trabalho, como lidar: 1- aguente essa merda até arranjar outro emprego, 2- diga estressado e moralmente abalado no seu emprego",2017
22,"Nego se arrepende de cometer assédio ou se ""arrepende"" por ter perdido o emprego?",2017
23,"maninho, se é pra ameaçar para FICAR CALADA DEPOIS DE ASSÉDIO - avisaê que tem até ator hollywoodyano perdendo emprego com os nossos depoimentos.",2017
24,"Chega de assedio sexual Basta!! Denuncie : Sua vida,sua saude vale mais que um emprego fb.me/JSQnasbG",2017
25,"Se não boicotarem essa merda depois dessa, Hollywood pode devolver o emprego de todo mundo que foi afastado por assédio https://nitter.woodland.cafe/omelete/status/935663347617460225",2017
26,"Essas vagas de ""emprego"" que o @VagasArrombadas volta e meia colocam aqui estão deixando claro algo que digo há algum tempo: que a reforma trabalhista, na prática, ""liberou geral"" o assédio moral",2017
27,é aquele ditado amg se não aguenta assédio de fã troca de emprego https://nitter.woodland.cafe/ieqendtan/status/934467915037986816,2017
28,"No meu primeiro emprego, recém formada e professora de uma escola famosa por ser ""progressista"", sofri assédio sexual por dois anos consecutivos por alguém encarregado de ser meu ""tutor."" Eu era jovem e pensava:""será que é isso mesmo?"" #MeToo",2017
29,Que o exemplo de coragem das mulheres sirva para estimular também as denúncias de assédio moral no ambiente corporativo. Prática tao comum quanto camuflada pelo temor de perder o emprego.,2017
