,tweets,ano
0,"Vc está enganada, tem muito homem que deixa emprego de.professor, personal trainner , etc., por causa de assédio. A mulher hoje assume cargos de chefia e poder tanto quanto os homens, e abusam do poder também.",2018
1,Não sei vcs mas eu achei super digno o José Mayer fazendo video pra pedir que esqueçam as histórias de assédio e lhe deem o emprego de volta em House of Cards  Não pera,2018
2,nunca sofreu assedio nesse teu emprego não? — KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK ja https://curiouscat.me/leonardogmc/post/735171271?t=1545103063,2018
3,"Quando eu sai do meu trampo, em fevereiro, eu fiquei preocupada! Todo mundo sabe que ta foda arrumar um trampo, mas a empresa que eu trampava era foda. Primeiro emprego cheio de traumas. De assédio a xingamento. Foi tenso!",2018
4,"+ eu fiquei quieta porque eu não queria perder o emprego, porque eu tava com nojo, com vergonha, eu comentei com a minha mãe mas não com meu pai porque sabia que ele ia fazer um escândalo. Por isso que não dá pra parar de discutir e bater na tecla do feminismo e do assédio +",2018
5,"minha carreira adulta (sem contar a adolescência de vendedora, q era emprego d antes d me formar etc) é INTEIRA cheia de assédio ou SEXUAL ou MORAL OU OS DOIS. Isso td é MUITO GRAVE e eu SEI Q N É SÓ COMIGO. Em 2019 isso vai precisar ser AINDA MAIS DEBATIDO.",2018
6,Ótimo texto!! Meu marido sob nenhuma circunstância da carona para seus colaboradores pois uma falsa acusação foi feita a um colega que perdeu o emprego sem o menor direito a defesa!! Isso só prejudica quem realmente sofre assédio!!,2018
7,"Lutar contra assedio é uma batalha sem fim, vc pode mudar de bairro, cidade, estado, país, emprego, círculos sociais e não adianta, em qualquer cenário vai ter aquela pessoa de merda, que vai te tocar sem permissão, fazer ""elogios"" sexualizados, dizer frases nojentas... (1/8)",2018
8,"Como ter um salario igual não menor por serem mulheres.  A desigualdade social  que as mesmas sofrem, além da taxa enorme de violência contra as mulheres e assassinatos todos os dias, o assedio sexual  ( tanto na rua, escola em casa quanto em ônibus ou até no emprego )  +",2018
9,Tadinho o cara vai desistir do emprego e voltar pra tentar te assassinar depois  Eu daria 3 estrelas e denunciaria por assédio,2018
10,mais um episódio de macho perdendo o emprego por causa de assédio..... é as gurias!,2018
11,"miga kkkkkkk eu até faria isso, mas tenho muito medo de beirar o assédio sacou?! inclusive com esse emprego eu aprendi a me controlar muito kkkkk antes eu ficava secando",2018
12,"Minha amiga sofre assédio moral e sexual no trabalho, mas morre de medo de denunciar pq tem medo de perder o emprego. É o que temos que nos sujeitar para conseguir ganhar o pão de cada dia! E agora vai ficar ainda pior, ninguém vai olhar por nós mulheres!",2018
13,"muitos. Nós mulheres sentimos na pele caladas pois já vivemos no mundo ou você se sujeita ou não tem emprego. A saída de 99% das mulheres é fazer que não entendeu (a piada, o assédio moral, etc)",2018
14,"Meu, horrível é ser empregado de patrão safado, ter assédio moral na cabeça pra manter emprego, aguentar trabalhar sem remuneração e ter as verbas do FAT na mão do presidente PAULO GUEDES.",2018
15,"Nunquinha... ainda os advogados do MT me orientaram a não processar meus empregadores por assédio moral pq eu ia perder, mesmo com 5 testemunhas e que ainda ficaria 'marcada' e não arrumaria mais emprego em nenhuma empresa!",2018
16,"Vai procurar algo melhor para fazer! Você como o trabalhador é tratado em muitas empresas no Brasil? E tem que aceitar e submeter a vários tipos de humilhação, assédio moral e etc... E tem que aceitar por precisar do emprego, e o ministério do trabalho não tá nem aí. Fica na tua.",2018
17,"Minha questão é só reclamar na Internet. Um assédio ""aleatório"" na rua eu ""entendo"" ficar quieto, mas ""aceitar"" um assédio constante como o de um relacionamento ou no emprego eu não entendo.",2018
18,"2° - Meu chefe que eu denunciei  - também por assédio - e se tudo der certo em dezembro ele perde o emprego com justa causa e fica sem os direitos tudo que uma pessoa demitida deveria ter, fiz o b.o denunciando ele e jaja ele recebe a notícia que ta sendo processado rs",2018
19,"nego fazendo assédio ao vivo no rádio nossa senhora velho.... Tipo literalmente o cara ta fazendo piada ligando pra casa de uma mina, fingindo ser de entrevista de emprego perguntando se a mina quer ser secretaria particular na casa dele wtf",2018
20,"Ah, e vc n tem emprego se vc denunciar alguém por assédio",2018
