,tweets,ano
0,"Não aguento mais esses stories de promoter de festa. Pfvr parem, tô começando a achar que isso é assédio tipo operadora de telemarketing",2017
1,"4/5/6 chamadas ora da NOS ora da MEO por dia. Não se admite. Isto já não é telemarketing, é tele-assédio.",2017
2,Empresa de telemarketing é condenada a indenizar ex-funcionária vítima de assédio moral - Clique para ver ☛  wp.me/p8MqmP-QT,2017
3,Empresa de telemarketing é condenada a indenizar ex-funcionária vítima de assédio moral ift.tt/2gDirNm,2017
4,Empresa de telemarketing é condenada a indenizar ex-funcionária vítima de assédio moral fb.me/GsZglj8f,2017
5,Empresa de telemarketing é condenada a indenizar ex-funcionária vítima de assédio moral https://lnkd.in/dH-N8Ef,2017
6,Empresa de telemarketing é condenada a indenizar ex-funcionária vítima de assédio moral. https://goo.gl/qqAnce,2017
7,"Empresa de telemarketing é condenada a indenizar ex-funcionária vítima de assédio moral. (migalhas.com.br/Quentes/17,M…).",2017
8,"Quando combateremos a loucura, o assédio que tem sido a atuação dos telemarketing? Especialmente em cobranças indevidas.",2017
9,"Não entendo como isso não é ilegal. É um saco essa praga de telemarketing ativo. É incômodo, inconveniente e deveria ser considerado assédio",2017
10,nois pode reclamar no procon do assédio dessas desgraça de telemarketing? deus é testemunha que eu não aguento mais,2017
11,Empresa de telemarketing é condenada por assédio moral e sexual a funcionária  https://paraibaonline.com.br/2017/08/empresa-de-telemarketing-e-condenada-por-assedio-moral-e-sexual-a-funcionaria/,2017
12,Empresa de telemarketing é condenada por assédio moral e sexual a funcionária - https://paraibaonline.com.br/2017/08/empresa-de-telemarketing-e-condenada-por-assedio-moral-e-sexual-a-funcionaria/,2017
13,Não te explicaste bem no 1.º tweet. Quando li assédio pensei que fosse daquelas coisas de partilha de contactos para telemarketing :P,2017
14,Tem como processar telemarketing por assédio?  Eu não aguento mais essas mulheres com voz de pato.,2017
15,"@ProfRenataOrsi professora, boa noite, pode me ajudar com um assunto assédio moral institucional, li um caso em empresas de telemarketing",2017
16,"@AryannaManfredi professora, boa noite, pode me ajudar em um assunto? Assédio moral institucional. Li um caso em empresas de telemarketing",2017
17,"@renatosaraiva10 professor poderia me ajudar em um assunto? Assédio moral institucional, li sobre um caso em empresas de telemarketing",2017
18,"@marcosscalercio professor, boa noite, poderia me dá uma orientação sobre assédio moral institucional? Li em sobre isso em telemarketing",2017
19,"Professor, boa tarde, o senhor poderia falar ou fornecer um material para estudo sobre assédio moral institucional, li em telemarketing. grt",2017
20,21133867700. Número que se identifica como telemarketing do Banco Santander. infernizam a sua vida. Inútil reclamar. Assédio  descarado.,2017
21,existe área onde ocorra mais assedio sexual que em telemarketing?porque não é possivel...,2017
22,MPT investiga denúncias de assédio sexual e moral em empresa de telemarketing de Lauro de Freitas... fb.me/5Wc4GX3hN,2017
23,TRT22: Empresa de Telemarketing pagará R$ 10 mil por assédio moral,2017
24,@nextelbrasil bora parar c/ o telemarketing q beira níveis de assédio? Não aguento mais receber ligação c/ gravação e não quero ser cliente,2017
25,O assédio da Sky recomeçou. Como a gente se livra dessa doença chamada telemarketing de ignorante que não checa dados antes de ligar?,2017
26,"Além disso, @Vivoemrede, avise o telemarketing que ñ tá legal o assédio, em especial qdo ñ querem desligar mesmo dpois d eu dizer q ñ quero",2017
27,Operadora de Telemarketing denúncia Assédio Moral no Call Center do aplicativo Uber passapalavra.info/2017/01/11… @radiobandnewsfm @JornalOGlobo,2017
28,Operadora de Telemarketing denúncia Assédio Moral no Call Center do aplicativo Uber passapalavra.info/2017/01/11… @olhardigital @g1 @gazetadopovo,2017
29,Operadora de Telemarketing denúncia Assédio Moral no Call Center do aplicativo Uber passapalavra.info/2017/01/11… @baguete @IDGNow @folha @Estadao,2017
30,Empresa de telemarketing assume compromisso de combater assédio moral e de respeitar Lei de Estágio bit.ly/2i5PK7h,2017
31,Empresa de telemarketing assume compromisso de combater assédio moral e de respeitar Lei de Estágio. goo.gl/MukWGg,2017
