,tweets,ano
0,"Gostei de um vídeo @YouTube de @canalpoenaroda youtu.be/WhHRK5S0Hk4?a ASSÉDIO SEXUAL NO TRABALHO - Ajuda, Põe na Roda",2016
1,Assédio moral no trabalho,2016
2,Relação de Trabalho e o Assédio Moral - Isso não pode e não deve continuar assim. fb.me/4yb0NzBqz,2016
3,Repórter brasileira fica desconfortável após assédio de Vin Diesel: ‘Atrapalhou meu trabalho’. portaldenoticiaspb.com/repor…,2016
4,Gostei de um vídeo @YouTube de @ojeanluca youtu.be/UJpsYkvd9xA?a SOFRI ASSÉDIO NO TRABALHO - Jean-Luca,2016
5,Risco Invisível: O Assédio Moral nas Relações de Trabalho - colmeia.blog.br/risco-invisi…,2016
6,"""assedio""? qndo meu ex gerente falou q era linda, q parecia a ex noiva dele, q me chamava pra sair depois do trabalho >>",2016
7,não é verdade. Trabalho com vídeo e detesto assédio. No meu set isso não ocorre.,2016
8,"Gostei de um vídeo @YouTube de @canalpoenaroda ln.is/www.youtube.com/pv7Iq ASSÉDIO SEXUAL NO TRABALHO - Ajuda, Põe na Roda",2016
9,"Mobbing: o assédio moral no trabalho  O assédio moral no trabalho, ou mobbing, se tornou algo muito comum nos... fb.me/ZHEKQQVh",2016
10,"Se os teus elogios me fazem sentir desconfortável, principalmente em ambiente de trabalho, é assédio sim. Enfia-os naquele sítio.",2016
11,Aquela entrevista foi assédio no trabalho ela se sentiu desconfortável de tanto q ele insistiu e atrapalhou a porra da entrevista,2016
12,"Helder foi condenado pela Justiça do Trabalho por danos morais coletivos em decorrência de denúncias de assédio,... fb.me/8aAkiWGZA",2016
13,Gostei de um vídeo do @YouTube de @ojeanluca youtu.be/UJpsYkvd9xA?a SOFRI ASSÉDIO NO TRABALHO - Jean-Luca,2016
14,N teve nenhum assédio? O cara atrapalhou o trabalho dela e fez ela se sentir desconfortável,2016
15,"claro....... assedio é assedio, nao importa se a pessoa ta fazendo o trabalho dela, tudo tem limites https://nitter.woodland.cafe/baldwinzzl/status/813058463597232132",2016
16,"""O vin diesel estava só brincando,n foi assédio""    Assédio ou não ela tava fazendo o trabalho dela e ele encheu a porra do saco",2016
17,"Coitada da mina mano, em nenhum momento disse que foi assédio... só falou que atrapalhou o trabalho dela jão",2016
18,eu acompanho o trabalho dela a mais de 5 anos (desde da época do @omelete). Ela não disse assédio.,2016
19,Ela que sofreu assédio e tem q pedir desculpas ainda? Pq? Por estar fazendo o trabalho dela e se sentir desconfortável,2016
20,"só pq foi o vin tão dizendo que ela quer ibope mas se seu colega de trabalho te elogia vc já processa por assédio, engraçado né",2016
21,"pode ser o cara lindo que a gente gosta, mas ali era ambiente de trabalho, o que só agrava o assédio.",2016
22,"""e esse cabelo azul? Tá rebelde, revoltada?"" ""n conseguiu ainda um trabalho no jornal?"" ""td p vc agora é assédio""",2016
23,"VOCÊS Q DECIDEM O Q E ASSÉDIO AGORA, A MENINA DISSE Q N GOSTOU, ATRAPALHOU O TRABALHO DELA, SÓ PQ VCS SE MOLHARAM N QUER DIZER QUE FOI CERTO",2016
24,"Elogio é uma coisa, agora vc insistir a ponto de deixar a pessoa constrangida e atrapalhar o trabalho dela, é assédio sim.",2016
25,"Acho q a discussão nem é de assédio msm, mas deveria ser pela falta de respeito do Vin Diesel ao trabalho da @carolmoreira3",2016
26,Bom dia! Curso GRATUITO online de atualização Assédio moral no trabalho O curso aborda tipos de assédio no... fb.me/7qNO3rTu2,2016
27,"vc ta no trabalho e o telemarketing te ligando ja te encomoda, imagina uma assedio",2016
28,Assista o vídeo a carol não fala em assedio  ela diz que ficou desconfortável e que teve seu trabalho interrompido.,2016
