,tweets,ano
0,Janaína fez um trabalho lindo! KKKKLLLKKKKKKKK,2017
1,"Não sei pq vcs n gostam do ensino médio, sim, tem as partes ruins (pessoas q vc n gosta, bully) mas, depois que acaba é como q se vc fosse obrigado a se tornar adulto, responsabilidades, faculdade, trabalho, ajudar em casa, etc... E.M É FICHINHA e só sdds",2017
2,Sem talento não rola trabalho !!,2017
3,"A No Bully resolve cerca de 90% dos casos de bullying nas escolas em que está presente, através dos métodos de trabalho. Não estás já farto que este ainda seja um problema na nossa sociedade? Sê parte da solução! #NoBullyYesLove",2017
4,Falei que não ia baixar jogo no notebook que a finalidade dele era só pra trabalho.... e cá estou baixando Bully,2017
5,"Os bullies podem prejudicar e comprometer um local de trabalho, mas você pode aprender a lidar com eles. https://www.getabstract.com/summary/31563?dfs=wdnmrffqasgiuvpndhhqgkuhxpuctw&rf=MWYEFQIRVC",2017
6,"A mãe, 100% estressada, precisa faltar no trabalho pra ir até a escola porque o filho levou um empurrão do bully que ninguém suporta na sala",2017
7,MEU TRABALHO TÁ LÁ! TÃO LINDO AQUELE CARTAZ DO BULLY! QUERO ELE DE VOLTA!,2017
8,Não existe Vitória sem trabalho !,2017
9,"a parada que mais gosto no meu trabalho é que os meninos fecham muito, um gastando o outro sem parar, sem viadagem de bully, melhor coisa",2017
10,Que vontade de largar esses trabalho e ir platinar meu Bully,2017
11,Aulas de pt vão render pó bully fazer o seu trabalho adorotxi fofi,2017
12,porém vamos na Bully fazer o trabalho de português 😴,2017
13,"não estás a fazer o teu trabalho correctamente, um bully nunca abandona uma profissão",2017
14,Como vou fazer o trabalho do curso,2017
