,tweets,ano
0,Janaína fez um trabalho lindo! KKKKLLLKKKKKKKK,2017
1,"tema esta bem relevante, infelizmente. saiu noticia hj q meu host *predileto* eh um bully no trabalho... wbur.org/news/2017/12/11/tom…",2017
2,"Não sei pq vcs n gostam do ensino médio, sim, tem as partes ruins (pessoas q vc n gosta, bully) mas, depois que acaba é como q se vc fosse obrigado a se tornar adulto, responsabilidades, faculdade, trabalho, ajudar em casa, etc... E.M É FICHINHA e só sdds",2017
3,Sem talento não rola trabalho !!,2017
4,"A No Bully resolve cerca de 90% dos casos de bullying nas escolas em que está presente, através dos métodos de trabalho. Não estás já farto que este ainda seja um problema na nossa sociedade? Sê parte da solução! #NoBullyYesLove",2017
5,Falei que não ia baixar jogo no notebook que a finalidade dele era só pra trabalho.... e cá estou baixando Bully,2017
6,"Os bullies podem prejudicar e comprometer um local de trabalho, mas você pode aprender a lidar com eles. https://www.getabstract.com/summary/31563?dfs=wdnmrffqasgiuvpndhhqgkuhxpuctw&rf=MWYEFQIRVC",2017
7,"A mãe, 100% estressada, precisa faltar no trabalho pra ir até a escola porque o filho levou um empurrão do bully que ninguém suporta na sala",2017
8,eu sofro bullying fazem 9 anos (contando com o trabalho) e eu nunca se quer fiz um ai com os bullies no máximo chamei um de lixo mas só isso,2017
9,MEU TRABALHO TÁ LÁ! TÃO LINDO AQUELE CARTAZ DO BULLY! QUERO ELE DE VOLTA!,2017
10,Não existe Vitória sem trabalho !,2017
11,"a parada que mais gosto no meu trabalho é que os meninos fecham muito, um gastando o outro sem parar, sem viadagem de bully, melhor coisa",2017
12,Que vontade de largar esses trabalho e ir platinar meu Bully,2017
13,Aulas de pt vão render pó bully fazer o seu trabalho adorotxi fofi,2017
14,"não estás a fazer o teu trabalho correctamente, um bully nunca abandona uma profissão",2017
15,Como vou fazer o trabalho do curso,2017
16,boa noite pra quem teve um surto no trabalho e agora tem um outro novo apelido pelos bullies QUE AMOR,2017
17,eu tenho uns poucos pelos tipo bem poucos e ninguém nunca se incomodou com isso até vir esses bullies do trabalho LEAVE ME ALONE PIRRA,2017
18,""" As ofensas são virtual mas as consequências são reais"". (trazendo aqui pra vocês o meu trabalho, espero que vejam como o bully é desumano)",2017
19,"isso que eu faço no meu trabalho, bully",2017
20,"já não basta o trabalho, ainda meu pai me trata assim como os bullies o termo que ele falou foi igualzinho, ai que legal",2017
21,bully no trabalho disse isso,2017
22,tas a fazer o trabalho todo por mim... és tipo um self bully,2017
23,Epa! Eu era a pessoa de quem os bullies tinham medo! Hahaha mas p expor o trabalho acho q o insta é melhor mesmo,2017
24,"Não só Bully, GTA 3, GTA San Andreas, fora as produtoras menores qnd sofrem proibição e n ganham dinheiro com o trabalho",2017
25,"Carai Shazam .. vou gravar essa porra quando chegar do trabalho, Bully é uma dlç :3",2017
26,amanhã tenho trabalho e eu comecei a chorar por medo dos bullies COMO PODE,2017
27,To aqui fazendo um trabalho sobre bully e procurando alguma música pra colocar um trecho. Pensei em The Nobodies mas acho que é muito pesado,2017
28,Só trabalho com pprt,2017
29,É do Crossfit. Qualquer dia mete-se com o gajo errado e acabam o trabalho que a natureza começou de lhe amaçarem a cara. Detesto bullies.,2017
30,"As coisas que uso só é sucesso na internet e role, na vida real e no trabalho sofro bully",2017
31,Mano eu tava dormindo  Agr tenho q terminar o trabalho do bully affz,2017
32,"Eles fazem um trabalho bem feito né?! Bully foi muito epico, seria muito bom eles investir nisso",2017
33,Trabalho no circo ?,2017
34,To enviando o Bully agora.. aff... maior agonia esse vegas.. uma vez ou outra ele me da esse trabalho,2017
35,Como fazer o download do jogo Android BULLY Apk + Obb 100% Trabalho [HINDI] 5stargamer.com/como-fazer-o-…,2017
36,Vc viu q ele tem processo nas costas por danos morais por ter exposto fotos de uma ex-colega de trabalho? Ele É um bully,2017
37,Vídeo especial do Bully saindo daqui a pouco.. Deu um mega trabalho pra produzir rsrs.. espero que gostem,2017
38,Acordei cedo pra fazer o trabalho logo,2017
39,Vem piranha brota na base do Bully que tu vai ver que o trabalho tá lindo,2017
40,"Qem n jogou Bully na play 2 pode entrar na minha conta   EvermiguelXV@gmail.com Pw: Lovelyboy9596  Dá-te unfollow, n me vou dar ao trabalho",2017
41,"é legal ver como eyeshield faz um trabalho de humanização de um trio de bullies que, inicialmente, pareciam ser só fundamentalmente ruins",2017
42,"Porra eu, th, rafa, Bully entramos na mente da vitoria hj, no trabalho de artes tive q dizer q ela era bafuda mas ao menos tempo nao dizendo",2017
43,"⚡ Justiça do Trabalho 'nem deveria existir', diz presidente da Câmara  https://nitter.lanterne-rouge.info/i/moments/839652365049479172",2017
44,"Meu dia nas férias universitárias: Acordo, trabalho, academia, LOL, DotA, Bruxão 3, Bully, dormir",2017
45,"já passei na lojinha, comprei Bully p jogar, saindo aqui do trabalho já vou babando p casa!!",2017
46,sofrendo bully no trabalho por usar winamp skin clássica,2017
